gmap_id,review_count,review_text_count,response_count
0x54d067024d499153:0x5957bba66f2cf917,77,62,77
0x808577829c93b681:0x41940bcc76235129,56,26,56
0x808577b5770fa1c3:0xf2777e033abcfb2e,618,443,618
0x808fb52c0170c257:0x650b8ee3f8b1ea88,78,42,78
0x809468b07195897d:0xd693a40181f40100,58,41,58
0x80c2b7206a34660f:0x9369e52f34d049f6,166,86,166
0x80c2c60f9fcfbec7:0xa97967e3153c43a8,455,258,455
0x80c2cc76b5890eb9:0x44a288072609a9ed,468,246,468
0x80d9520db2dbce29:0x1ff763e3e6096554,293,219,293
0x80dd28ab701d9629:0x2caf5afd2ca17498,145,78,145
0x80dd3630880e86c9:0xa82914858feac7f0,398,263,398
