gmap_id,review_count,review_text_count,response_count
0x5490148aca2c3e9d:0xf5573bee4e65e43c,125,125,112
0x54d067024d499153:0x5957bba66f2cf917,77,77,11
0x54d15a8c9fadd0c5:0x6f3dabf2061ca13f,54,54,0
0x80803548ec1ed4e7:0x82301f8f5a243561,98,98,0
0x80843588fed19c55:0xeaed4339ca3a5967,76,76,0
0x80843810081ce52d:0xed9e63802f656fe7,368,368,0
0x808447fe73cd23ab:0x9a8fd8436f9d84d5,75,75,0
0x808449d77b0212b5:0x8f32f8ff844d7e15,253,253,0
0x8085060f89b7ac43:0xb0db1097221c151e,652,652,25
0x808517fb689abafd:0xd662d905045592e0,58,58,0
0x808529739eb69bdd:0x174d073b048699d0,248,248,0
0x80855e53a323f00f:0xdbd68e939269806f,107,107,0
0x808572d5961d0141:0x104fb9da48fc825e,93,93,0
0x808577829c93b681:0x41940bcc76235129,56,56,0
0x808577a5ebed2af3:0x9880cc61319ef89a,58,58,0
0x808577b5770fa1c3:0xf2777e033abcfb2e,618,618,258
0x80857e798a45fe1d:0x3cc6b3be2874dea2,964,964,554
0x80857e82c27f75c9:0x3b3b5cd77d6f371f,307,307,0
0x80857ea1c8988d17:0xece1a0dfa7274ed3,124,124,0
0x808580a2741aa893:0x4d9d188582960372,343,343,0
0x8085875dcd4e3b23:0xbd19d357e5410ad3,415,415,0
0x8085bb6326542e47:0xf271e91f81507139,78,78,9
0x808de66afdb65255:0x2d2e25e00ac8706,148,148,36
0x808e2fcd455f8165:0xbcbb568681a7038f,97,97,96
0x808f7e2378c6037d:0xdd294d82eb235474,308,308,0
0x808f7e2d96a407bd:0xb17ea00fb0fe0004,138,138,0
0x808f8fc14baaf5a9:0xa528cd7162f3a99d,58,58,0
0x808f91498dd6ec07:0x3f8ffc53dbdc47ad,128,128,0
0x808f91b28d162457:0x609be2bc75a487d4,58,58,0
0x808f91b297b9bf2b:0x52b67db7b5185f72,129,129,0
0x808f9225621c49df:0x166f93525d5a252e,114,114,0
0x808fb52c0170c257:0x650b8ee3f8b1ea88,78,78,0
0x808fbf313cd34141:0xf1993e0cad1f13e0,55,55,4
0x808fbfd96d627e75:0x83066f6d0b713d78,166,166,0
0x808fc769a42efc95:0x86300f08bde3aac9,118,118,0
0x808fca0da2cc6e67:0x2e62e7d1d2ac635c,61,61,0
0x808fca66c9b5197d:0xae635d254508dc7f,807,807,7
0x808fca92d8f9545f:0x6e2b52d94b075c42,198,198,144
0x808fcb146d96926f:0xff35e99b970126d6,4432,4432,0
0x808fcb3d2120f229:0xe58b7763bf3f5321,247,247,0
0x808fccbbd18aa865:0x53ec7b75291f7eae,118,118,2
0x808fe8ddd16ead37:0xdedd6f2227e5a205,78,78,0
0x809012d37197fb51:0xe225da2e195f781a,208,208,0
0x80904179ab8e46d3:0x9bcb022236f056d5,128,128,1
